,,lightgcn,ncl,scl
recall@1,mean,0.1808,0.15358,0.17873999999999998
recall@1,std,0.004965380146574875,0.024360254514269753,0.00506833305930066
recall@2,mean,0.2694,0.23818,0.26804
recall@2,std,0.009714936952960608,0.023306372519120166,0.005793358266152711
recall@3,mean,0.32624,0.29444,0.32706
recall@3,std,0.0076969474468778975,0.02348942315170808,0.005471105921109547
recall@4,mean,0.37112,0.34052,0.3728
recall@4,std,0.008721066448548588,0.02478319995480809,0.008514693182963214
recall@5,mean,0.40834000000000004,0.3711,0.40746000000000004
recall@5,std,0.00782163665737548,0.029224390498349146,0.009758739672724146
recall@10,mean,0.52794,0.49673999999999996,0.52866
recall@10,std,0.0049353824573178315,0.03066965927427297,0.007252103143226782
recall@20,mean,0.6662399999999999,0.63508,0.664
recall@20,std,0.0049576203969242845,0.025446846562983023,0.006885128902206547
recall@30,mean,0.73732,0.70394,0.73576
recall@30,std,0.005103136290556998,0.030991014826881682,0.0031341665558805147
recall@50,mean,0.81572,0.7871,0.8180799999999999
recall@50,std,0.004845307007816949,0.028296201158459447,0.004207968631061762
precision@1,mean,0.30566,0.25866,0.30222
precision@1,std,0.004412822226194949,0.042344338464545654,0.0043008138764657165
precision@2,mean,0.23782,0.20536,0.23566000000000004
precision@2,std,0.0056583566518910765,0.027860958346761864,0.0026415904300250686
precision@3,mean,0.19854,0.1741,0.1977
precision@3,std,0.004159687488261576,0.020831226560142826,0.001671825349730053
precision@4,mean,0.17287999999999998,0.15276,0.17256
precision@4,std,0.003017780641464845,0.016706675312580906,0.00199323857076869
precision@5,mean,0.15402,0.13566,0.1538
precision@5,std,0.0020885401600160857,0.01533453618470412,0.0022045407685048596
precision@10,mean,0.10347999999999999,0.09418,0.10369999999999999
precision@10,std,0.0016037456157383552,0.008725365321864749,0.0014781745499094466
precision@20,mean,0.06692000000000001,0.06262,0.06658
precision@20,std,0.0007596051605933183,0.004055490106016776,0.001005982107196746
precision@30,mean,0.04996,0.04684,0.04988
precision@30,std,0.0005412947441089738,0.0029829515584400613,0.0004549725266430965
precision@50,mean,0.03352,0.03204,0.03358
precision@50,std,0.00019235384061671166,0.0013867227552759054,0.0001303840481040514
ndcg@1,mean,0.30566,0.25866,0.30222
ndcg@1,std,0.004412822226194949,0.042344338464545654,0.0043008138764657165
ndcg@2,mean,0.31494,0.27276,0.31248
ndcg@2,std,0.007673525917073573,0.03529720952143386,0.0039429684249306495
ndcg@3,mean,0.32716,0.28784,0.32602000000000003
ndcg@3,std,0.006868624316411558,0.03220780961195593,0.0039983746697876965
ndcg@4,mean,0.33988,0.30213999999999996,0.33928
ndcg@4,std,0.007009778883816523,0.031437922959381394,0.00562112088466349
ndcg@5,mean,0.35178,0.31194,0.3504
ndcg@5,std,0.006283072496796442,0.03270952460675634,0.006113509630318744
ndcg@10,mean,0.39172,0.35394000000000003,0.39078
ndcg@10,std,0.004893056304601469,0.03330207200760936,0.004530121411176514
ndcg@20,mean,0.43182,0.39436,0.42969999999999997
ndcg@20,std,0.004222203216331512,0.031741108991338016,0.00340220516724079
ndcg@30,mean,0.45016,0.41206,0.44836
ndcg@30,std,0.004484194465007066,0.032891381849961855,0.003314815228636437
ndcg@50,mean,0.46816,0.43136,0.46715999999999996
ndcg@50,std,0.004261807128437413,0.031965809859911265,0.0031077322922027973
map@1,mean,0.30566,0.25866,0.30222
map@1,std,0.004412822226194949,0.042344338464545654,0.0043008138764657165
map@2,mean,0.28788,0.24636,0.28542
map@2,std,0.006685207551003934,0.03480586157531517,0.0036806249469349735
map@3,mean,0.28634,0.24788000000000002,0.28466
map@3,std,0.006059537936179602,0.03154182936990182,0.003744729629759682
map@4,mean,0.28932,0.25220000000000004,0.28824
map@4,std,0.006095244047616121,0.030693403200036325,0.004847989273915522
map@5,mean,0.29364,0.25564,0.29214
map@5,std,0.00545325590817082,0.03131266516922505,0.0051684620536480656
map@10,mean,0.3099,0.27222,0.3085
map@10,std,0.0051570340313013335,0.032056309831295315,0.004406812907306143
map@20,mean,0.32394,0.2859,0.32198000000000004
map@20,std,0.004889580759124429,0.03218019577317702,0.003763907544029207
map@30,mean,0.32932,0.29094,0.3275
map@30,std,0.0048551004109081055,0.03259544446698033,0.0038451267859460764
map@50,mean,0.33327999999999997,0.29514,0.33158
map@50,std,0.004917011287357408,0.03236221562254351,0.0038796907093220645
training_time,mean,287.63335394859314,74.53750700950623,589.5443084716796
training_time,std,20.640204430599315,72.17968791843036,185.9722316104676
num_parameters,mean,144448.0,144448.0,144448.0
num_parameters,std,0.0,0.0,0.0
