,,lightgcn,ncl,scl,scl w/o potential,scl w/o semantic,scl w/o struct
recall@1,mean,0.14564,0.14644,0.14872000000000002,0.14867999999999998,0.14188,0.1449
recall@1,std,0.005738728082075337,0.014303950503270072,0.013971291994658182,0.013895574835176843,0.004582248356429413,0.00537540696133791
recall@2,mean,0.24089999999999998,0.2419,0.24290000000000003,0.24292000000000002,0.24096,0.24020000000000002
recall@2,std,0.005178320190949962,0.009243916918709289,0.008189932844657532,0.007841683492720172,0.004500888801114734,0.005746738205277843
recall@3,mean,0.28656,0.29584,0.29268,0.29266000000000003,0.28958,0.28674
recall@3,std,0.0033590177135585245,0.013542082557716164,0.012729375475646867,0.01242449194132299,0.0029235252692596967,0.004658647872505513
recall@4,mean,0.32678,0.3353,0.33374000000000004,0.33361999999999997,0.3276,0.3297
recall@4,std,0.00571637997337475,0.014824135725228614,0.015136644278042625,0.015120747336028058,0.003380088756231115,0.006856019253181841
recall@5,mean,0.35874,0.36862,0.37136,0.37063999999999997,0.36188,0.3604
recall@5,std,0.009050580091905711,0.015176033737442718,0.018023401454775403,0.017064964107785324,0.00818089237186262,0.007761121053043806
recall@10,mean,0.47796000000000005,0.48812,0.48604,0.48672000000000004,0.47763999999999995,0.47456
recall@10,std,0.011493389404348905,0.013915890197899693,0.014408955548546914,0.015937283331860518,0.01011251699627744,0.009324054911893243
recall@20,mean,0.60558,0.6226200000000001,0.62374,0.6230800000000001,0.6150399999999999,0.6061799999999999
recall@20,std,0.00793895459112849,0.01505778868227339,0.014042008403358881,0.01282934137046789,0.010479646940617812,0.00987557593257223
recall@30,mean,0.6808,0.69268,0.6955199999999999,0.69536,0.6902,0.6899
recall@30,std,0.018719374989566284,0.01349840731345738,0.013005652617227624,0.012824897660410397,0.007804165554369026,0.014045817882914459
recall@50,mean,0.77658,0.7807000000000001,0.7774599999999999,0.7774,0.77052,0.7780400000000001
recall@50,std,0.014003106798135856,0.011792582414382342,0.01671580090812283,0.01658402846114297,0.013347921186461938,0.014043432628812646
precision@1,mean,0.23731999999999998,0.24281999999999998,0.24516,0.24504,0.23357999999999998,0.23622
precision@1,std,0.007729618360566054,0.02585221460532927,0.02484095408795728,0.024593352760451354,0.005123670559276809,0.008486872215368866
precision@2,mean,0.1937,0.19971999999999998,0.2001,0.19992000000000001,0.19438,0.19248
precision@2,std,0.0037121422386541163,0.014963188162955101,0.014492584310605194,0.013982560566648728,0.0028717590428167794,0.005863616631397387
precision@3,mean,0.15962,0.16776,0.16666,0.16668,0.16162,0.1591
precision@3,std,0.001954993606127657,0.01279034792333659,0.012842235007972717,0.012827782349260533,0.0015974980438172733,0.0026655205870523683
precision@4,mean,0.13986,0.14674,0.14652,0.14652,0.14094,0.14024
precision@4,std,0.0029013789824840234,0.011421602339426823,0.011761037369211946,0.011709696836383076,0.002064703368525362,0.0026140007651108254
precision@5,mean,0.1248,0.13147999999999999,0.13212000000000002,0.13184,0.12692,0.12506
precision@5,std,0.002558319761093203,0.009808261823585265,0.010862182101217041,0.010397980573169013,0.0026696441710460208,0.0022345021816950624
precision@10,mean,0.08682,0.09056,0.08996,0.09,0.0875,0.08602
precision@10,std,0.0011945710527214324,0.005189219594505516,0.0055450879163454194,0.005687266478722443,0.0016294170736800347,0.0009602083107326278
precision@20,mean,0.05700000000000001,0.05994000000000001,0.059919999999999994,0.059840000000000004,0.058640000000000005,0.056720000000000007
precision@20,std,0.00040620192023179335,0.002535350074447315,0.002564566240127165,0.002442949037536396,0.001080740486888504,0.0004868264577855216
precision@30,mean,0.04368,0.04538,0.04556,0.045540000000000004,0.04492,0.04392
precision@30,std,0.0007529940238806684,0.0015817711591756903,0.0015372052563011834,0.00149432258900145,0.0007661592523751187,0.0006379655163094662
precision@50,mean,0.030940000000000002,0.03154,0.03142,0.03142,0.031059999999999997,0.030940000000000002
precision@50,std,0.00031304951684996867,0.0006841052550594849,0.000840832920383118,0.000840832920383118,0.00021908902300206426,0.00035777087639996604
ndcg@1,mean,0.23731999999999998,0.24281999999999998,0.24516,0.24504,0.23357999999999998,0.23622
ndcg@1,std,0.007729618360566054,0.02585221460532927,0.02484095408795728,0.024593352760451354,0.005123670559276809,0.008486872215368866
ndcg@2,mean,0.26284,0.26758000000000004,0.26902,0.26890000000000003,0.26186,0.26154
ndcg@2,std,0.005201249849795731,0.01853029951188053,0.017478186404773215,0.01705388518783917,0.004060541835765287,0.0073237968295140335
ndcg@3,mean,0.27404,0.2823,0.2817,0.2817,0.27468,0.27334
ndcg@3,std,0.004380410939626555,0.018328802470428875,0.017940596422638764,0.01769025155276201,0.0032660373543485634,0.005799396520328649
ndcg@4,mean,0.28674,0.29453999999999997,0.29476,0.29464,0.28642,0.2873
ndcg@4,std,0.005077696328060614,0.018367852351322923,0.018486021746173524,0.018322745427473502,0.003480948146697961,0.006348621897703471
ndcg@5,mean,0.29724,0.30569999999999997,0.30744,0.30708,0.29816,0.29748
ndcg@5,std,0.0056782919967187295,0.0179567536041457,0.01913682314283118,0.018546212551353972,0.004640366364846643,0.006545761987729159
ndcg@10,mean,0.33716,0.34540000000000004,0.34538,0.34552,0.33682,0.3357
ndcg@10,std,0.004622553406938628,0.0173526655012998,0.017226346101248534,0.01753473695268906,0.003846036921299629,0.005743256915723005
ndcg@20,mean,0.3736,0.3842,0.3851,0.38488,0.3765,0.37326000000000004
ndcg@20,std,0.004224334267076891,0.01667003299336869,0.01715706851417223,0.01672982366912457,0.0046663690381280485,0.006151260033521568
ndcg@30,mean,0.39318,0.40264,0.40404,0.40392,0.39624000000000004,0.39486
ndcg@30,std,0.004490211576306847,0.01668331501830495,0.01625432250203002,0.016034088686295817,0.0033283629609764677,0.006543546439049693
ndcg@50,mean,0.41574,0.4232,0.42330000000000007,0.42324,0.41533999999999993,0.41597999999999996
ndcg@50,std,0.0037453971752005196,0.015951488958714795,0.016879129124454276,0.01674075864469706,0.0037686867739306863,0.006437934451359387
map@1,mean,0.23731999999999998,0.24281999999999998,0.24516,0.24504,0.23357999999999998,0.23622
map@1,std,0.007729618360566054,0.02585221460532927,0.02484095408795728,0.024593352760451354,0.005123670559276809,0.008486872215368866
map@2,mean,0.23536,0.24003999999999998,0.24165999999999999,0.24154,0.2339,0.23420000000000002
map@2,std,0.005273803181765512,0.018837542302540398,0.0180318606915648,0.01761187099657501,0.004105484137102474,0.0070806073185850395
map@3,mean,0.23442,0.24136000000000002,0.24174,0.24165999999999999,0.23401999999999998,0.23365999999999998
map@3,std,0.004650483845794979,0.018209557929834516,0.018078384883611714,0.01789212117106297,0.003908580304918923,0.005965567869029745
map@4,mean,0.23832,0.24500000000000002,0.24582,0.24572,0.23732000000000003,0.23810000000000003
map@4,std,0.0050096906092093035,0.018328529673708134,0.01836864175708153,0.018206372510744695,0.0038829112789246236,0.006192737682156423
map@5,mean,0.24184,0.24916,0.25066,0.25044,0.24169999999999997,0.24164
map@5,std,0.005163138580359818,0.017970058430622864,0.01853450835603687,0.018145054422624374,0.0042011903075199935,0.0061735727095418545
map@10,mean,0.25718,0.2644,0.26512,0.26512,0.25664,0.25630000000000003
map@10,std,0.0041763620532707605,0.017600000000000032,0.017615249075729814,0.017615816756540146,0.0032822248551858803,0.00539768468882722
map@20,mean,0.26862,0.2768,0.27782,0.27772,0.26936,0.26812
map@20,std,0.0042334383189081715,0.017409336575527495,0.01766315373878628,0.017442677546752973,0.003692289262774511,0.005583636807672932
map@30,mean,0.27388,0.28198,0.2832,0.28308,0.27486,0.27376
map@30,std,0.0038835550723531898,0.017539298731705327,0.017533254118959212,0.017313347452182645,0.003497570585420663,0.005586412086482704
map@50,mean,0.27880000000000005,0.28656000000000004,0.28754,0.28746,0.27915999999999996,0.27852
map@50,std,0.0037967091013139196,0.017345835235006712,0.017551296248425663,0.017360817953080428,0.0033842281246984456,0.005614000356252209
training_time,mean,13.63026041984558,36.69855751991272,37.47766189575195,23.475728273391724,13.84566102027893,10.047304391860962
