,,lightgcn,ncl,scl,scl w/o potential,scl w/o semantic,scl w/o struct
recall@1,mean,0.14035999999999998,0.1376,0.1442,0.14365999999999998,0.14496,0.14052
recall@1,std,0.007035836837221283,0.008119421161634612,0.017329743217947575,0.01623908864437903,0.010885449003141761,0.0059642266891861235
recall@2,mean,0.23384,0.22970000000000002,0.23664000000000002,0.2371,0.24000000000000005,0.23426
recall@2,std,0.002801428207182901,0.008376455097474108,0.010447631310493312,0.011157284615891083,0.012305283418109478,0.0035451375149632746
recall@3,mean,0.28334000000000004,0.28247999999999995,0.29186,0.29218,0.29392,0.28287999999999996
recall@3,std,0.0016831518053936742,0.0056273439560773205,0.02067251798886629,0.021511787466410134,0.014059054022230651,0.0018281137820168746
recall@4,mean,0.32426,0.32564000000000004,0.33302,0.33164,0.3364,0.32565999999999995
recall@4,std,0.0041590864381496175,0.0021196697856034077,0.027071608744217622,0.02440774467254194,0.017408044117591146,0.003716584453500278
recall@5,mean,0.35356,0.35712,0.36628,0.36596,0.37122,0.35432
recall@5,std,0.00398346582764307,0.004143307857256095,0.02778501394637045,0.026656293815907707,0.01889065906738038,0.003723170691762595
recall@10,mean,0.47678000000000004,0.4767,0.48724,0.48579999999999995,0.49535999999999997,0.4768
recall@10,std,0.001626960356001352,0.0033548472394432536,0.020661389111093203,0.01760411883622692,0.022052845621370512,0.0017378147196982776
recall@20,mean,0.6048199999999999,0.61888,0.62212,0.62176,0.6337400000000001,0.6046400000000001
recall@20,std,0.005052425160257193,0.006068937304009625,0.01704338581385756,0.016518565313004618,0.02652570451467782,0.005809733212463365
recall@30,mean,0.68906,0.68448,0.69536,0.69432,0.70168,0.68816
recall@30,std,0.005691484867765202,0.008628267497012364,0.021348957819996732,0.01882928570073756,0.022056223611488904,0.006134574149849335
recall@50,mean,0.7759799999999999,0.7686,0.7823800000000001,0.78174,0.78584,0.77826
recall@50,std,0.005448118941432911,0.004833735615442794,0.0194200154479856,0.01795279922463349,0.01946979712272318,0.007068804708011126
precision@1,mean,0.22970000000000002,0.22805999999999998,0.23962,0.23895999999999998,0.24294000000000002,0.22993999999999998
precision@1,std,0.005209126606255606,0.010949337879524958,0.028503368222018953,0.027113151790229027,0.02143135553342345,0.007024457274409181
precision@2,mean,0.18722,0.18734,0.19504000000000002,0.19498,0.20093999999999998,0.18862
precision@2,std,0.0018926172354705078,0.004417352148063367,0.01600149992969409,0.015720432564023158,0.0178561754023643,0.002178761115863785
precision@3,mean,0.15708000000000003,0.15904000000000001,0.16528,0.16522,0.16952,0.15667999999999999
precision@3,std,0.002358389280844019,0.003661693597230662,0.016214561357002544,0.016098975122659197,0.014305837969164879,0.0023931151246858067
precision@4,mean,0.13772,0.14066,0.14518,0.14436,0.14882,0.13812
