,,lightgcn,ncl,scl
recall@1,mean,0.14564,0.14644,0.14872000000000002
recall@1,std,0.005738728082075337,0.014303950503270072,0.013971291994658182
recall@2,mean,0.24089999999999998,0.2419,0.24290000000000003
recall@2,std,0.005178320190949962,0.009243916918709289,0.008189932844657532
recall@3,mean,0.28656,0.29584,0.29268
recall@3,std,0.0033590177135585245,0.013542082557716164,0.012729375475646867
recall@4,mean,0.32678,0.3353,0.33374000000000004
recall@4,std,0.00571637997337475,0.014824135725228614,0.015136644278042625
recall@5,mean,0.35874,0.36862,0.37136
recall@5,std,0.009050580091905711,0.015176033737442718,0.018023401454775403
recall@10,mean,0.47796000000000005,0.48812,0.48604
recall@10,std,0.011493389404348905,0.013915890197899693,0.014408955548546914
recall@20,mean,0.60558,0.6226200000000001,0.62374
recall@20,std,0.00793895459112849,0.01505778868227339,0.014042008403358881
recall@30,mean,0.6808,0.69268,0.6955199999999999
recall@30,std,0.018719374989566284,0.01349840731345738,0.013005652617227624
recall@50,mean,0.77658,0.7807000000000001,0.7774599999999999
recall@50,std,0.014003106798135856,0.011792582414382342,0.01671580090812283
precision@1,mean,0.23731999999999998,0.24281999999999998,0.24516
precision@1,std,0.007729618360566054,0.02585221460532927,0.02484095408795728
precision@2,mean,0.1937,0.19971999999999998,0.2001
precision@2,std,0.0037121422386541163,0.014963188162955101,0.014492584310605194
precision@3,mean,0.15962,0.16776,0.16666
precision@3,std,0.001954993606127657,0.01279034792333659,0.012842235007972717
precision@4,mean,0.13986,0.14674,0.14652
precision@4,std,0.0029013789824840234,0.011421602339426823,0.011761037369211946
precision@5,mean,0.1248,0.13147999999999999,0.13212000000000002
precision@5,std,0.002558319761093203,0.009808261823585265,0.010862182101217041
precision@10,mean,0.08682,0.09056,0.08996
precision@10,std,0.0011945710527214324,0.005189219594505516,0.0055450879163454194
precision@20,mean,0.05700000000000001,0.05994000000000001,0.059919999999999994
precision@20,std,0.00040620192023179335,0.002535350074447315,0.002564566240127165
precision@30,mean,0.04368,0.04538,0.04556
precision@30,std,0.0007529940238806684,0.0015817711591756903,0.0015372052563011834
precision@50,mean,0.030940000000000002,0.03154,0.03142
precision@50,std,0.00031304951684996867,0.0006841052550594849,0.000840832920383118
ndcg@1,mean,0.23731999999999998,0.24281999999999998,0.24516
ndcg@1,std,0.007729618360566054,0.02585221460532927,0.02484095408795728
ndcg@2,mean,0.26284,0.26758000000000004,0.26902
ndcg@2,std,0.005201249849795731,0.01853029951188053,0.017478186404773215
ndcg@3,mean,0.27404,0.2823,0.2817
ndcg@3,std,0.004380410939626555,0.018328802470428875,0.017940596422638764
ndcg@4,mean,0.28674,0.29453999999999997,0.29476
ndcg@4,std,0.005077696328060614,0.018367852351322923,0.018486021746173524
ndcg@5,mean,0.29724,0.30569999999999997,0.30744
ndcg@5,std,0.0056782919967187295,0.0179567536041457,0.01913682314283118
ndcg@10,mean,0.33716,0.34540000000000004,0.34538
ndcg@10,std,0.004622553406938628,0.0173526655012998,0.017226346101248534
ndcg@20,mean,0.3736,0.3842,0.3851
ndcg@20,std,0.004224334267076891,0.01667003299336869,0.01715706851417223
ndcg@30,mean,0.39318,0.40264,0.40404
ndcg@30,std,0.004490211576306847,0.01668331501830495,0.01625432250203002
ndcg@50,mean,0.41574,0.4232,0.42330000000000007
ndcg@50,std,0.0037453971752005196,0.015951488958714795,0.016879129124454276
map@1,mean,0.23731999999999998,0.24281999999999998,0.24516
map@1,std,0.007729618360566054,0.02585221460532927,0.02484095408795728
map@2,mean,0.23536,0.24003999999999998,0.24165999999999999
map@2,std,0.005273803181765512,0.018837542302540398,0.0180318606915648
map@3,mean,0.23442,0.24136000000000002,0.24174
map@3,std,0.004650483845794979,0.018209557929834516,0.018078384883611714
map@4,mean,0.23832,0.24500000000000002,0.24582
map@4,std,0.0050096906092093035,0.018328529673708134,0.01836864175708153
map@5,mean,0.24184,0.24916,0.25066
map@5,std,0.005163138580359818,0.017970058430622864,0.01853450835603687
map@10,mean,0.25718,0.2644,0.26512
map@10,std,0.0041763620532707605,0.017600000000000032,0.017615249075729814
map@20,mean,0.26862,0.2768,0.27782
map@20,std,0.0042334383189081715,0.017409336575527495,0.01766315373878628
map@30,mean,0.27388,0.28198,0.2832
map@30,std,0.0038835550723531898,0.017539298731705327,0.017533254118959212
map@50,mean,0.27880000000000005,0.28656000000000004,0.28754
map@50,std,0.0037967091013139196,0.017345835235006712,0.017551296248425663
training_time,mean,10.687996339797973,22.17515187263489,23.274127817153932
training_time,std,4.691135440720947,22.7449432713787,24.538250573476986
num_parameters,mean,144448.0,144448.0,144448.0
num_parameters,std,0.0,0.0,0.0
recall_avg,,0.4332822222222223,0.44135777777777774,0.44135111111111114
precision_avg,,0.11930444444444444,0.12399333333333333,0.12415777777777778
ndcg_avg,,0.3197622222222222,0.32759777777777777,0.3284333333333334
map_avg,,0.2517488888888889,0.25868,0.25985777777777774
